,text,category
62,"Смотрите. Как у них ходила первая команда? 5, 25, 3, по-моему, если я не ошибаюсь. А четвертая команда ходила 10, 20, 14. О чем это говорит?",другое
63,"Ну, кто-то проверял другого на прочность. Просто.",другое
64,"При чем да, смотрите. Первая команда такая более рискованная, что ли.",другое
65,Не знаю.,другое
66,"5, 25, 3. А может...",другое
67,"Ну что, какая наша стратегия?",другое
68,Поддержите?,другое
69,"Ничего, можно на ее наборку возвращаться.",другое
70,"Так, еще 40 секунд у нас есть. Ой, не 40, а 15. А что дальше будем делать?",другое
71,"А как нам надо будет возвращаться? А, выйти из зала.",другое
72,"Не, я имею в виду стратегия. Ну, сейчас выйдет. А что-то мы не выходим, да?",другое
73,Надо кнопочку нажать.,другое
74,"Не знаю, не буду тратить время, автоматически выходим. Вера, а чего нас не завершает?",другое
75,"Я решила остаться с вами, да, через 30 секунд нас автоматически выкинет. Но можем нажать сверху вот эту синюю кнопочку «Выйти». Пойдем в общий зал.",другое
76,"Да, я просто решила не делать. А я так поняла, что одна минута у нас теперь. И после одной минуты мы должны завершать автоматически, нет?",другое
77,"Все, у нас через 4 секунды с вами должны выкинуть.",другое
78,"Смотрите, один уже... На, так сказать, близки. И у них осталось 45. При этом у нас осталось 47. Они могут идти и в авант, но они не могут поставить больше, чем мы. Опять же, мы все это делаем в этой ситуации.",другое
79,"Ну, а если они сейчас поставят больше, чем мы, они сразу окажутся наверху.",другое
80,15 минут осталось.,другое
81,Они в прошлый раз 25 поставили. Я поставил 27.,другое
82,Я согласен. Но мы сможем хоть как-то...,другое
83,"Да, давайте поставим. Но они выиграют. Они могут выиграть.",другое
84,"Ну, мы могут. И так могут и так. Ну, ладно, 20 тогда я уменьшу. Так.",другое
85,"Ну, если мы поставим 27, понятное дело, что, если...",другое
86,"У них остаётся тогда, ну...",другое
87,Нас просто сожгут сейчас и до свидания. 2 чтобы прощупать. 2-3 максимум.,другое
88,"Шансов у нас. Наша задача не сжигать, наша задача не сжигать да? Понятно, сколько ставим, 2?",другое
89,"Ну да, да, да, у них больше, у них больше менеджера, чем у нас.",другое
90,"Проблема в том, что эта скифская лестница чуть-чуть не такая, там должна быть.",другое
91,Короткая.,другое
92,"Да, короткая, не хватает одного шага и смысл теряется, по сути. Бессмысленно, хотя бы, ну, два раза проиграть можно. Ну всё, мы, по сути, проиграли. Что бы ни поставили. Пофиг. Один.",другое
93,А что это? А что это нам?,другое
94,"Ну, я вот двадцать отправил, так. Ну, я не думаю, что там, там, наверняка. Просто ставишь двадцать шесть и всё.",другое
95,"Ну, я могу с вами поиграть, может быть, вас двое. Да, один участник вышел, к сожалению, который в нашей команде должен быть.",другое
96,"Ну, кто-то из вас должен тогда форму заполнять",предложение
97,"Ну, давайте я.",предложение
98,Тогда я слежу за временем.,предложение
99,"Да, давайте.",другое
100,Я предлагаю начать с небольшой цифры,предложение
101,Я тоже предлагаю,предложение
102,"Да, я согласен с пяти",другое
103,"Все, давай, заполняй пять.",предложение
104,"Может, тогда лучше не пять, а поменьше еще поставить, а вообще один?",предложение
105,"Да, да, согласен.",другое
106,"Окей, хорошо. Ну да, наверное, да.",другое
107,"41 надо делать, иначе они сходят и выиграют.",предложение
108,То есть такая рискованная штука,другое
109,"Может, тогда имеет смысл поставить 20?",предложение
110,"Юр, единицу?",предложение
111,А если двоечку лучше?,предложение
112,"Так. Ну, вот я думаю, тоже маленькую надо ставить.",другое
113,"Давайте двойку, правда.",другое
114,"Ну, да, я согласен, чтобы цифра была маленькой.",другое
115,Давайте 3.,предложение
116,"Да, я согласен.",другое
117,"Юр, ну 7, да?",предложение
118,"Подождите, 6 не надо, зачем?",другое
119,"У них заканчиваются ресурсы, и они проигрывают автоматически.",другое
120,"Давайте 4, это всего 1 балл.",предложение
121,"Ставь 6, и мы оставим камень на месте. А потом мы его передвинем.",предложение
122,Окей. 6.,другое
123,Мы можем сейчас поставить единицу.,предложение
124,Пятерку давайте поставим.,предложение
125,Зачем единицу?,другое
126,Давайте поставим чуть больше.,предложение
127,"Ага. Ну, ладно.",другое
128,"Ну, надо 10 ставить.",предложение
129,Согласна.,другое
130,Мы вообще можем поставить 1 и вернуть на место и сохранить ресурс.,предложение
131,Ну вообще я согласна. У меня такие же были как у Юры соображения.,другое
132,Я бы десять поставил.,предложение
133,"Но, понимаешь, я думаю, что они перебьют.",другое
134,Поэтому я бы сохранила ресурс и вернула на место.,предложение
135,десять я предлагаю ставить,предложение
136,"Я думаю, что надо ставить куда-нибудь в район, как вот они ходили, в три.",предложение
137,Вот надо в три ставить.,предложение
138,Я тоже про тройку думала.,другое
139,Я согласна на три.,другое
140,"Но мы пока в плюсе, поэтому я бы сейчас поэкономил.",предложение
141,Давайте пятерочку поставим.,предложение
142,"Давайте пятерку, если они повторят три.",предложение
143,"Боюсь, что у них будет около 6-7 что-нибудь такое.",другое
144,Я его сейчас вам пришлю.,другое
145,"Огонь. Ну и, соответственно, тогда посмотрим сейчас, как наши соперники сыграют.",другое
146,"Сейчас, если мы сейчас сделаем низкую ставку, то получается, у них камень будет уже на второй ступени, правильно?",другое
147,"То есть нам надо сделать в любом случае больше, чем у них.",предложение
148,"нет, я хочу все-таки красиво, давайте 26.",предложение
149,Совещаться нужно.,предложение
150,"Лучше сейчас это сделать, потому что 30 секунд осталось до конца.",предложение
151,Давайте с одного начнем.,предложение
152,Я согласен.,другое
153,"И нам нужно будет сейчас подумать, какую ставку теперь будет делать вторая команда, которая с нами играет.",предложение
154,Давайте не будем рисковать.,предложение
155,"Ну, в принципе, нужно ставить ее.",предложение
156,"Нам нужно решить, что тогда им",предложение
157,"Можем даже десятку, наверное, поставить.",предложение
158,"А, нет. Любая другая цифра рискованна. Золото окажется у них на самом верху. Мы проиграем.",другое
159,"Ну, все, мне кажется. У нас, получается, одна монета осталась.",другое
160,"Да, получается, что так. Ну, в этот раз так. У нас еще наверняка будет сейчас за 3-4 место тоже сражение.",другое
161,А я просто не делала это.,другое
162,"А я на вас выставила. Все, все, все. Теперь я поняла. Все, я извиняюсь.",другое
163,"Да, больше никого. Я так и не поняла смысл этой игры.",другое
164,"В принципе, получается то, что они поставили 35, и мы вышли, вылетели.",другое
165,"Ага, я поняла. Вот. У нас просто как-то не сыгралось.",другое
166,"Давайте победим прямо, я бы так это сказала. Не просто играть, а победить.",предложение
167,"Давайте того, кто умеет это делать, я предлагаю",предложение
168,"Нет, давайте я.",предложение
169,"Ну, давайте я буду отправлять.",предложение
170,Хорошо.,другое
171,"Так, ну я думаю, что надо приступить к определению,",предложение
172,"Окей, окей.",другое
173,"Да, да, да.",другое
174,Я предлагаю 21.,предложение
175,Я предлагаю 25 или 22.,предложение
176,"Ну, и по-хорошему, давайте так, коллеги.",предложение
177,Совершенно верно.,другое
178,"Давайте по итогу что ставим, что отправляем.",предложение
179,"Нет, подожди, почему?",другое
180,"Ну, давайте 20.",предложение
181,"Да, команда разумно поступает, поэтому сейчас нужно подумать, какие варианты они могут предпринять.",предложение
182,"Мы сейчас не выиграем, мы же сейчас внизу находимся",другое
183,"Так, давайте, сколько ставим?",предложение
184,Давайте 4 поставим.,предложение
185,"Надо ставить два, однозначно.",предложение
186,"Может, троечку поставить тогда?",предложение
187,"Не-не-не, ну интересно.",другое
188,"Давайте тур на удачу, давайте двойку.",предложение
189,Давайте ва-банк троечку поставим.,предложение
190,"Я вот тоже за тройку, чтобы уже наверняка",другое
191,"Ну, смотрите, а зачем?",другое
192,Давайте два.,предложение
193,2 надо ставить.,предложение
194,"Да, я предлагаю их поддержать и поставить минус-один.",предложение
195,Но они могут сейчас стратегию поменять.,другое
196,"Да погоди, зачем 10?",другое
197,"Все, окей, давайте, двоечка.",предложение
198,Я бы 20 поставил,предложение
199,Я бы один поставил.,предложение
200,"Ну, что-то ты осторожничаешь.",другое
201,"Блин, я бы ва-банк, наверное, пошла.",предложение
202,"Давайте 24 хотя бы, чтобы 2 осталось.",предложение
203,"Ну, давай, окей, 24.",другое
204,"Тогда давайте, может быть, один поставим?",предложение
205,Я тоже поддерживаю.,другое
206,"Давайте однерку тогда, чтобы какой-то запас был.",предложение
207,"Нет, у нас может один остаться",другое
208,"То есть тот, кто поднял руку, да?",другое
209,"Нет, нет, того, кто умеет отправлять код.",другое
210,"Три этапа, это три раунда, как в футболе там. Отбор есть, полуфинал и финал.",другое
211,"25 уж тогда, чтобы перебить, да, наверняка.",предложение
212,"Ну, короче, либо два по 25, получается, либо как-то вот какая-то стратегия.",предложение
213,"А если вот, смотрите, например, ну, пока есть минута, просто хочу понять. Вот, допустим, мы поставили 20, а команда поставила 10. Мы выиграли. На следующий секунд мы поставили 13, а они поставили там 15.",другое
214,"Нет, мы тогда у нас остается, мы следующую тридцатку можем смело ставить. И если они тридцатку не поставили",другое
215,"Первый раунд, он важен. Выиграть, если мы сейчас в первом раунде",другое
216,"Но меньше 25, потому что вдруг, если они сделают 25, то у нас будет возможность в следующем раунде отыграть.",другое
217,"Совершенно верно. Давайте по итогу что ставим, что отправляем.",предложение
218,"Так, сейчас, подождите, а где у нас, куда отправляли табличку?",другое
219,Мы сейчас проиграем.,другое
220,"Да, давай, 22, бомби.",предложение
221,"Так, а что дальше делаете?",другое
222,"Ничего, ждем сейчас другие, наверное, результаты других команд. Будет рейтинг, сейчас кто отвалился, а кто дальше прошел.",другое
223,А с какой командой? С командой мы играем первый раз?,другое
224,"Они говорят, я так понял.",другое
225,"Я тоже не совсем поняла, и, по идее, сейчас будет четыре.",другое
226,"Ну, смотрите, первая команда была нарисована, что играет с восьмой.",другое
227,"Есть шансы, что они 28 сейчас скажут, потому что у нас осталось 27, они скажут 28. Свалимся назад, и мы, если скажем 27, у нас не будет шансов обратно подняться. Поэтому они сейчас",другое
228,"28, Наташа, у нас 28 осталось. Мы же 22 ставили, а у нас 28.",другое
229,"А, ну, 28, значит, они 29 сейчас сделают, у них останется 6.",другое
230,"Ну, или они могут пойти по пути аккуратности, поставить один, мы поставим все, и дальше уже игра будет предопределена.",другое
231,"А, ну, они потом его два хода по одному сделают, если у нас ничего не останется, правильно?",другое
232,"Конечно, конечно. Если 29 они сейчас делают, а мы 28, ва-банк, то они... у них еще 6 баллов остается.",другое
233,Тогда надо нам оставить 7,предложение
234,"Ну, оставляем 7 и поехали.",предложение
235,"Нет, подожди, почему?",другое
236,"Можно и 20, и можно и 20 поставить, оставить немножко.",предложение
237,"Потому что либо они поаккуратничают, либо они сразу 29 поставят.",другое
238,"Угу. Так, Ирина, ты ставишь, да? Да, да, да. Команда, да.",другое
239,"Ладно, держим кулачки, мы хотим победить.",другое
240,"Угу. Блин, у меня тут конкуренты сидят. С открытой дверью. Боюсь, что... Может, нечестно.",другое
241,"А как все такое, я не пойму, это нечестно так?",другое
242,Конечно. Все двери открыли.,другое
243,"Так вот... А, ну да, они нам уже не конкуренты.",другое
244,"Точно. Наталья, а вы в какой компании работаете? Что-то я не помню, так на вскидку.",другое
245,Как лучше поступить?,другое
246,"Ну, как бы мы сейчас почти наравне.",другое
247,"Так, ну у нас, смотрите, 8 очков у команд соперников. Вот единички.",другое
248,"Так, подождите, смотрите, а если мы сейчас ставим, входим ва-банк, то у нас к следующему этапу, ну, к следующему, скажем так, к четвертьфиналу, у нас опять запас или все, уже мы с нулем приходим, если мы выиграем сейчас эти 50?",другое
249,"Мы сейчас не выиграем, мы же сейчас внизу находимся, у нас также два хода.",другое
250,"Если они один поставят, то мы выигрываем автоматически.",другое
251,"Мы выиграли, просто выиграли.",другое
252,"Нет, давайте двойку.",предложение
253,"Нет, смотри, если мы поставим три, они поставят один, он перейдет на нашу сторону, на вторую ступень, и у нас остается по одному.",другое
254,А нас двое отсылают?,другое
255,"А, ну круто. Давайте втроем, Варвара. Почему? Потому что у нас кто-то должен следить за временем, кто-то должен заполнять форму. И, соответственно, три мнения, на мой взгляд, это лучше, чем два.",другое
256,У нас уже оно началось?,другое
257,"Да, оно началось, и за минуту будет писаться в зуме, что нас будут перекидывать обратно. Но пока у нас время есть, да, подумайте.",другое
258,"Так, ну вы правила поняли?",другое
259,"Я поняла правила. Нам нужно, чтобы у нас остался максимальный, с одной стороны, максимальный ресурс в конце, с другой стороны, мы не должны вылететь из середины. То есть нужно вот этот вот баланс поддержать, чтобы как бы и выйти в полуфинал, и чтобы у нас еще остались деньги, ну, монеты.",другое
260,"То есть у нас сейчас получается будет два раунда, да?",другое
261,"Смотрим их, да, и наблюдаем за стратегией других.",другое
262,"Так, а мне, Варвара, мне надо каждый раз отправить еще один ответ, да, надо будет на следующий раз?",другое
263,Давай,другое
264,"Давай, согласна.",другое
